pred:no_relation,pred:org:alternate_names,pred:org:city_of_headquarters,pred:org:country_of_headquarters,pred:org:dissolved,pred:org:founded,pred:org:founded_by,pred:org:member_of,pred:org:members,pred:org:number_of_employees/members,pred:org:parents,pred:org:political/religious_affiliation,pred:org:shareholders,pred:org:stateorprovince_of_headquarters,pred:org:subsidiaries,pred:org:top_members/employees,pred:org:website,pred:per:age,pred:per:alternate_names,pred:per:cause_of_death,pred:per:charges,pred:per:children,pred:per:cities_of_residence,pred:per:city_of_birth,pred:per:city_of_death,pred:per:countries_of_residence,pred:per:country_of_birth,pred:per:country_of_death,pred:per:date_of_birth,pred:per:date_of_death,pred:per:employee_of,pred:per:origin,pred:per:other_family,pred:per:parents,pred:per:religion,pred:per:schools_attended,pred:per:siblings,pred:per:spouse,pred:per:stateorprovince_of_birth,pred:per:stateorprovince_of_death,pred:per:stateorprovinces_of_residence,pred:per:title,
-478,-53,35,70,23,20,7,10,-86,21,118,5,38,-54,91,45,2,33,17,10,39,-30,103,-1,18,-31,4,1,30,42,-60,25,-13,95,-6,-11,-104,44,149,22,-192,2,true:no_relation
-1,-258,0,0,0,0,0,2,-2,0,-5,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true:org:alternate_names
-2,1,1,-2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true:org:city_of_headquarters
-14,1,4,7,0,0,0,2,-3,-1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,true:org:country_of_headquarters
0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true:org:dissolved
0,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true:org:founded
-1,0,0,0,0,0,-11,0,0,0,0,0,-1,0,0,3,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,-4,0,true:org:founded_by
-1,-2,-1,2,-1,1,0,0,-2,0,0,1,0,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true:org:member_of
-2,-2,2,1,0,0,0,5,-1,0,-3,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true:org:members
0,0,0,0,0,0,0,0,-1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true:org:number_of_employees/members
-3,-5,-1,6,1,0,0,1,-1,0,-4,0,0,-5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true:org:parents
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true:org:political/religious_affiliation
0,1,0,0,0,0,2,0,-2,0,0,0,1,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,true:org:shareholders
