                                          pred:per:other_family  pred:org:members  pred:org:parents  pred:per:cause_of_death  pred:org:dissolved  pred:org:website  pred:org:number_of_employees/members  pred:org:alternate_names  pred:per:alternate_names  pred:org:political/religious_affiliation  pred:org:founded  pred:per:country_of_birth  pred:org:member_of  pred:per:origin  pred:per:religion  pred:per:stateorprovince_of_death  pred:org:founded_by  pred:org:shareholders  pred:org:top_members/employees  pred:per:parents  pred:per:stateorprovinces_of_residence  pred:per:children  pred:per:date_of_death  pred:per:date_of_birth  pred:per:siblings  pred:org:city_of_headquarters  pred:per:schools_attended  pred:per:stateorprovince_of_birth  pred:no_relation  pred:per:cities_of_residence  pred:per:charges  pred:per:city_of_birth  pred:per:city_of_death  pred:per:spouse  pred:per:title  pred:per:countries_of_residence  pred:per:employee_of  pred:org:stateorprovince_of_headquarters  pred:org:subsidiaries  pred:per:age  pred:per:country_of_death  pred:org:country_of_headquarters
true:per:other_family                                        10                 0                 0                        0                   0                 0                                     0                         0                         3                                         0                 0                          0                   0                0                  0                                  1                    0                      0                               4                 4                                       4                  7                       0                       1                  8                              0                          0                                  2                 4                             3                 3                       0                       1                5               8                                4                     2                                         0                      0             6                          0                                 0
true:org:members                                              0                15                 9                        0                   0                 0                                     0                         3                         0                                         0                 1                          0                   9                0                  0                                  0                    0                      0                               1                 0                                       0                  0                       0                       0                  0                              3                          0                                  0                27                             0                 0                       0                       0                0               0                                2                     0                                         1                      6             1                          0                                 7
true:org:parents                                              0                 3                24                        0                   1                 0                                     1                        10                         0                                         0                 0                          0                   2                0                  0                                  0                    0                      3                               0                 0                                       0                  0                       0                       0                  0                              2                          0                                  0                16                             0                 0                       0                       0                0               0                                0                     0                                         1                     22             0                          0                                11
true:per:cause_of_death                                       2                 0                 0                       83                   0                 0                                     0                         0                         1                                         0                 0                          0                   0                1                  0                                  1                    0                      0                               1                 2                                       7                  1                       9                       0                  2                              0                          0                                  2                 8                            13                 3                       0                       7                2              11                                2                     5                                         0                      0             5                          0                                 0
true:org:dissolved                                            0                 0                 0                        0                   4                 0                                     1                         0                         0                                         0                 1                          0                   0                0                  0                                  0                    0                      1                               0                 0                                       0                  0                       0                       0                  0                              0                          0                                  0                 0                             0                 0                       0                       0                0               0                                0                     0                                         0                      0             0                          0                                 1
true:org:website                                              0                 0                 1                        0                   0                83                                     0                         0                         0                                         0                 0                          0                   0                0                  0                                  0                    0                      0                               0                 0                                       0                  0                       0                       0                  0                              0                          0                                  0                 2                             0                 0                       0                       0                0               0                                0                     0                                         0                      0             0                          0                                 0
true:org:number_of_employees/members                          0                 0                 1                        0                   0                 0                                    18                         2                         0                                         0                 0                          0                   1                0                  0                                  0                    0                      0                               0                 0                                       0                  0                       0                       0                  0                              2                          0                                  0                 1                             0                 0                       0                       0                0               0                                0                     1                                         1                      0             0                          0                                 0
true:org:alternate_names                                      0                 2                 9                        0                   0                 0                                     0                        19                         0                                         0                 0                          0                   6                0                  0                                  0                    0                      2                               1                 0                                       0                  0                       0                       0                  0                              0                          0                                  0                11                             0                 0                       0                       0                0               0                                0                     1                                        11                    269             0                          0                                 7
true:per:alternate_names                                      2                 0                 0                        0                   0                 0                                     0                         0                         6                                         0                 0                          0                   0                0                  0                                  0                    0                      0                               4                 1                                       2                  0                       0                       0                  4                              0                          0                                  3                 2                             1                 0                       1                       3                3               4                                1                     0                                         0                      0             1                          0                                 0
true:org:political/religious_affiliation                      0                 0                 0                        0                   0                 0                                     0                         0                         0                                         5                 0                          0                   0                0                  0                                  0                    0                      0                               1                 0                                       0                  0                       0                       0                  0                              1                          0                                  0                 2                             0                 0                       0                       0                0               0                                0                     0                                         0                      0             0                          0                                 1
