
                                          pred:per:cities_of_residence  pred:per:religion  pred:no_relation  pred:per:country_of_death  pred:per:stateorprovinces_of_residence  pred:org:parents  pred:per:children  pred:per:siblings  pred:per:schools_attended  pred:org:member_of  pred:per:city_of_birth  pred:per:stateorprovince_of_death  pred:org:stateorprovince_of_headquarters  pred:org:number_of_employees/members  pred:per:countries_of_residence  pred:org:political/religious_affiliation  pred:per:origin  pred:per:spouse  pred:org:alternate_names  pred:org:founded_by  pred:per:charges  pred:org:dissolved  pred:per:title  pred:per:alternate_names  pred:per:stateorprovince_of_birth  pred:org:website  pred:per:age  pred:org:top_members/employees  pred:per:parents  pred:per:city_of_death  pred:org:shareholders  pred:org:country_of_headquarters  pred:per:employee_of  pred:per:country_of_birth  pred:org:founded  pred:org:subsidiaries  pred:org:city_of_headquarters  pred:per:other_family  pred:per:date_of_death  pred:per:date_of_birth  pred:org:members  pred:per:cause_of_death
true:per:cities_of_residence                                        90                  0                 7                          0                                       7                 0                  1                  2                          2                   0                       5                                  2                                         0                                     0                                4                                         0                5                4                         0                    2                 3                   0               9                         2                                  2                 0             3                               5                 1                       8                      0                                 0                     5                          0                 0                      0                              0                      1                       6                       0                 0                        3
true:per:religion                                                    6                 25                 2                          0                                       0                 0                  0                  0                          0                   0                       1                                  0                                         0                                     0                                8                                         0                0                0                         0                    2                 0                   0               4                         1                                  0                 0             0                               1                 1                       1                      0                                 0                     0                          0                 0                      0                              0                      0                       1                       0                 0                        0
true:no_relation                                                   546                 65              2191                          3                                     632               510                208                420                        113                 227                      16                                 63                                       206                                   305                              860                                        61              256              299                       600                  111               138                 101            1665                       473                                 14                39           601                            1284               133                     122                    154                               562                  1741                         18               411                    337                            343                    361                     447                     131               267                      161
true:per:country_of_death                                            2                  0                 1                          0                                       0                 0                  1                  0                          0                   0                       0                                  2                                         0                                     0                                9                                         0                1                1                         0                    0                 0                   0               2                         0                                  0                 0             2                               0                 0                       2                      0                                 0                    10                          0                 0                      0                              0                      1                       2                       1                 0                        9
true:per:stateorprovinces_of_residence                               9                  0                 4                          0                                      19                 0                  0                  3                          3                   0                       0                                  3                                         0                                     0                                2                                         0                1                5                         0                    0                 1                   0               8                         4                                  3                 0             0                               3                 0                       1                      0                                 0                     1                          0                 0                      0                              0                      1                       0                       0                 0                        1
true:org:parents                                                     0                  0                19                          0                                       0                28                  0                  0                          0                   1                       0                                  0                                         6                                     1                                0                                         0                0                0                        15                    0                 0                   0               0                         0                                  0                 0             0                               0                 0                       0                      3                                 5                     0                          0                 0                     11                              3                      0                       0                       0                 4                        0
true:per:children                                                    3                  0                 2                          0                                       5                 0                 31                  7                          0                   0                       0                                  1                                         0                                     0                                4                                         0                0                5                         0                    1                 1                   0               3                         4                                  0                 0             0                               0                13                       0                      0                                 0                     1                          2                 0                      0                              0                      6                       7                       2                 0                        1
true:per:siblings                                                    0                  0                 1                          0                                       2                 0                  6                  8                          0                   0                       0                                  0                                         0                                     0                                1                                         0                0                1                         0                    0                 0                   0               4                         0                                  2                 0             0                               0                 3                       0                      0                                 0                     1                          0                 0                      0                              0                      1                       0                       0                 0                        0
true:per:schools_attended                                            0                  0                 1                          0                                       0                 0                  0                  0                         24                   0                       0                                  0                                         0                                     0                                0                                         0                0                1                         0                    0                 0                   0               0                         0                                  0                 0             0                               9                 0                       0                      0                                 0                    15                          0                 0                      0                              0                      0                       0                       0                 0                        0
true:org:member_of                                                   0                  0                 4                          0                                       0                 6                  0                  0                          0                   1                       0                                  0                                         3                                     1                                0                                         0                0                0                         6                    0                 0                   1               0                         0                                  0                 0             0                               0                 0                       0                      1                                 1                     0                          0                 0                      3                              2                      0                       0                       0                 2                        0
true:per:city_of_birth                                              10                  0                 1                          0                                       0                 0                  0                  0                          1                   0                      15                                  0                                         0                                     0                                0                                         0                0                0                         0                    0                 0                   0               0                         0                                  2                 0             1                               0                 0                       2                      0                                 0                     0                          1                 0                      0                              0                      0                       0                       0                 0                        0
true:per:stateorprovince_of_death                                    2                  0                 0                          0                                       1                 0                  0                  0                          1                   0                       0                                  3                                         0                                     0                                2                                         0                0                0                         0                    0                 0                   0               4                         0                                  0                 0             2                               3                 3                       4                      0                                 0                     1                          0                 0                      0                              0                      0                       6                       1                 0                        8
true:org:stateorprovince_of_headquarters                             0                  0                 2                          0                                       0                 1                  0                  0                          0                   4                       0                                  0                                        38                                     1                                0                                         0                0                0                         9                    0                 0                   0               0                         0                                  0                 0             0                               0                 0                       0                      0                                 3                     1                          0                 0                      7                              1                      0                       0                       0                 3                        0
true:org:number_of_employees/members                                 0                  0                 1                          0                                       0                 2                  0                  0                          0                   1                       0                                  0                                         1                                    16                                0                                         0                0                0                         2                    0                 0                   0               0                         0                                  0                 0             0                               0                 0                       0                      0                                 0                     1                          0                 0                      0                              2                      0                       0                       0                 1                        0
true:per:countries_of_residence                                      9                  1                14                          0                                       9                 0                  3                  1                          1                   0                       0                                  0                                         0                                     0                              114                                         0               18                1                         0                    3                 2                   0              16                         5                                  0                 0             4                               6                 0                       2                      0                                 0                     7                          4                 0                      0                              0                      1                       3                       1                 0                        1
true:org:political/religious_affiliation                             0                  0                 2                          0                                       0                 0                  0                  0                          0                   0                       0                                  0                                         0                                     0                                0                                         5                0                0                         0                    0                 0                   0               0                         0                                  0                 0             0                               1                 0                       0                      0                                 1                     0                          0                 0                      0                              1                      0                       0                       0                 0                        0
true:per:origin                                                      3                  0                22                          0                                       2                 0                  0                  1                          0                   0                       0                                  0                                         0                                     0                               78                                         0               89                0                         0                    0                 1                   0               5                         0                                  0                 0             0                               1                 0                       0                      1                                 0                     5                          2                 0                      0                              0                      0                       0                       0                 0                        0
true:per:spouse                                                      7                  0                 7                          0                                       5                 0                  5                 12                          1                   0                       0                                  1                                         0                                     0                                6                                         0                0               78                         0                    1                 2                   0               6                         1                                  0                 0             4                               3                 3                       0                      0                                 0                     8                          0                 0                      0                              0                      2                       3                       1                 0                        3
true:org:alternate_names                                             0                  0                12                          0                                       0                14                  0                  0                          0                   4                       0                                  0                                        11                                     0                                0                                         0                0                0                       277                    0                 0                   0               0                         0                                  0                 0             0                               1                 0                       0                      2                                 7                     1                          0                 0                      5                              0                      0                       0                       0                 4                        0
true:org:founded_by                                                  0                  0                 1                          0                                       4                 0                  0                  0                          2                   1                       0                                  0                                         0                                     0                                0                                         0                0                0                         0                   21                 0                   0               0                         3                                  0                 0             0                               5                 0                       0                      8                                 0                    29                          0                 0                      0                              0                      2                       0                       0                 0                        0
true:per:charges                                                     3                  1                12                          0                                      11                 0                  4                  2                          0                   0                       0                                  1                                         0                                     0                                8                                         0                2                4                         0                    0                32                   0               6                         0                                  1                 0             3                               4                 5                       0                      0                                 0                     1                          0                 0                      0                              0                      1                       1                       0                 0                        3
true:org:dissolved                                                   0                  0                 0                          0                                       0                 0                  0                  0                          0                   0                       0                                  0                                         0                                     1                                0                                         0                0                0                         0                    0                 0                   5               0                         0                                  0                 0             0                               0                 0                       0                      1                                 1                     0                          0                 0                      0                              0                      0                       0                       0                 0                        0
true:per:title                                                       4                  1                21                          0                                       3                 0                  3                  6                          0                   1                       0                                  1                                         0                                     0                                8                                         0                4                4                         0                    1                 1                   0             811                         1                                  0                 0             7                              18                 0                       4                      1                                 0                    11                          1                 0                      0                              0                      3                       3                       0                 0                        1
true:per:alternate_names                                             1                  0                 6                          0                                       5                 0                  0                  3                          0                   0                       1                                  0                                         0                                     0                                1                                         0                0                1                         0                    0                 0                   0               4                         7                                  0                 0             1                               2                 0                       3                      0                                 0                     0                          0                 0                      0                              0                      3                       0                       0                 0                        0
true:per:stateorprovince_of_birth                                    0                  1                 0                          0                                       5                 0                  0                  1                          0                   0                       2                                  1                                         0                                     0                                0                                         0                0                0                         0                    0                 0                   0               0                         0                                 14                 0             0                               0                 0                       0                      0                                 0                     1                          0                 0                      0                              0                      0                       0                       0                 0                        1
true:org:website                                                     0                  0                 2                          0                                       0                 1                  0                  0                          0                   0                       0                                  0                                         0                                     0                                0                                         0                0                0                         0                    0                 0                   0               0                         0                                  0                83             0                               0                 0                       0                      0                                 0                     0                          0                 0                      0                              0                      0                       0                       0                 0                        0
true:per:age                                                         4                  0                 5                          0                                       1                 0                  1                  2                          0                   1                       0                                  1                                         0                                     0                                1                                         1                2                1                         0                    0                 0                   0               6                         0                                  0                 0           194                               4                 0                       6                      0                                 0                     5                          0                 0                      0                              0                      0                       4                       0                 0                        4
true:org:top_members/employees                                       1                  0                 7                          0                                       0                 0                  0                  0                          1                   0                       0                                  0                                         0                                     0                                1                                         0                0                0                         0                   12                 0                   0               5                         2                                  0                 0             0                             310                 0                       0                      1                                 0                   193                          0                 0                      1                              0                      0                       0                       0                 0                        0
true:per:parents                                                     2                  0                 3                          0                                       2                 0                  9                  4                          0                   0                       0                                  1                                         0                                     0                                3                                         0                0                3                         0                    0                 0                   0               2                         0                                  1                 0             0                               1                19                       0                      0                                 0                     2                          0                 0                      0                              0                      0                       0                       1                 0                        3
true:per:city_of_death                                              21                  1                 1                          0                                       2                 0                  2                  0                          1                   0                       1                                  7                                         0                                     0                                0                                         0                1                1                         0                    0                 0                   0              16                         0                                  0                 0             7                               2                 0                      20                      0                                 0                     6                          0                 0                      0                              0                      2                      10                       1                 0                       16
true:org:shareholders                                                1                  0                 1                          0                                       0                 3                  0                  0                          0                   0                       0                                  0                                         0                                     1                                0                                         0                0                0                         2                    2                 0                   0               0                         0                                  0                 0             0                              13                 0                       0                      9                                 2                    13                          0                 0                      5                              1                      0                       0                       0                 2                        0
true:org:country_of_headquarters                                     1                  0                50                          0                                       0                 7                  0                  0                          1                   8                       0                                  0                                         1                                     1                                0                                         1                0                0                         6                    0                 0                   0               1                         0                                  0                 0             0                               2                 0                       0                      1                                78                     2                          0                 1                      3                              6                      0                       0                       0                 7                        0
true:per:employee_of                                                 0                  0                10                          0                                       3                 0                  0                  0                         17                   0                       0                                  0                                         0                                     0                                2                                         0                0                0                         1                    7                 0                   0               4                         3                                  0                 0             2                             138                 0                       1                      2                                 0                   185                          0                 0                      0                              0                      0                       0                       0                 0                        0
true:per:country_of_birth                                            0                  0                 1                          0                                       2                 0                  1                  0                          1                   0                       0                                  0                                         0                                     0                                6                                         0                0                0                         0                    0                 0                   0               2                         0                                  0                 0             1                               0                 1                       0                      0                                 0                     0                          5                 0                      0                              0                      0                       0                       0                 0                        0
true:org:founded                                                     0                  0                10                          0                                       0                 2                  0                  0                          0                   2                       0                                  0                                         0                                     0                                0                                         0                0                0                         0                    0                 0                   3               0                         0                                  0                 0             0                               0                 0                       0                      0                                 0                     0                          0                20                      0                              1                      0                       0                       0                 0                        0
true:org:subsidiaries                                                0                  0                37                          0                                       0                14                  0                  0                          0                   5                       0                                  0                                         4                                     1                                0                                         0                0                0                        10                    0                 0                   0               0                         0                                  0                 0             0                               0                 0                       0                      1                                 2                     0                          0                 0                     32                              4                      0                       0                       0                 3                        0
true:org:city_of_headquarters                                        0                  0                12                          0                                       0                 2                  0                  0                          0                   2                       0                                  0                                         0                                     1                                0                                         0                0                0                         1                    0                 0                   0               0                         0                                  0                 0             0                               0                 0                       0                      0                                 8                     0                          0                 0                      2                             81                      0                       0                       0                 0                        0
true:per:other_family                                                2                  0                 6                          0                                       4                 0                  4                  7                          0                   0                       0                                  1                                         0                                     0                                4                                         0                0                6                         0                    0                 3                   0               9                         0                                  1                 0             4                               4                 5                       1                      0                                 0                     2                          0                 0                      0                              0                     14                       1                       1                 0                        1
true:per:date_of_death                                               7                  0                12                          0                                       1                 0                  1                  2                          0                   0                       0                                  4                                         0                                     0                                9                                         0                0                0                         0                    0                 1                   0              11                         1                                  0                 0             3                               5                 1                       3                      1                                 0                     6                          0                 0                      0                              0                      1                     117                      12                 0                        8
true:per:date_of_birth                                               0                  0                 0                          0                                       0                 0                  0                  0                          0                   0                       0                                  0                                         0                                     0                                0                                         0                0                0                         0                    0                 0                   0               2                         0                                  0                 0             0                               1                 3                       0                      0                                 0                     0                          0                 0                      0                              0                      0                       2                      23                 0                        0
true:org:members                                                     0                  0                29                          0                                       0                12                  0                  0                          0                   4                       0                                  0                                         3                                     0                                2                                         0                0                0                         5                    0                 0                   0               0                         0                                  0                 0             1                               1                 0                       0                      0                                 6                     0                          0                 1                      4                              1                      0                       0                       0                16                        0
true:per:cause_of_death                                              7                  0                 8                          0                                      10                 0                  1                  4                          0                   0                       0                                  1                                         0                                     0                                2                                         0                0                3                         0                    0                 1                   0              12                         0                                  0                 0             5                               1                 2                       7                      0                                 0                     5                          0                 0                      0                              0                      2                      10                       1                 0                       86


